year,reference_period_desc,begin_code,freq_desc,unit_desc,sector_desc,class_desc,commodity_desc,short_desc,statisticcat_desc,num_head
1997,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,49646700
1996,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,48721900
1995,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,48741000
1994,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,46499100
1993,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,46237500
1992,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,45632000
1991,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,45921000
1990,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,46766000
1989,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,46642000
1988,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,49308000
